Smartphone Name,Price (Rs.),Average Rating,Number of Ratings,Memory Variant,Display Features,Camera Features,Battery Features
"Nothing Phone (2a) 5G (Blue, 256 GB)",27999,4.4,4120,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery
"POCO X6 5G (Mirror Black, 256 GB)",19999,4.3,2478,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"REDMI 13C 5G (Startrail Green, 128 GB)",11999,4.2,5927,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"REDMI 13C 5G (Starlight Black, 128 GB)",11999,4.2,5927,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"IQOO z9x (Storm Grey, 128 GB)",14642,4.4,106,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Battery
"POCO X6 5G (Mirror Black, 256 GB)",18999,4.2,10380,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"POCO X6 Neo 5G (Martian Orange, 128 GB)",14999,4.1,6454,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Glimmer Black, 128 GB)",13760,4.4,176019,4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme C65 5G (Glowing Black, 64 GB)",10499,4.1,1071,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery
"POCO X6 5G (Skyline Blue, 256 GB)",19999,4.3,2478,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"IQOO Z9 (Brushed Green, 128 GB)",20000,4.3,279,8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,5000 mAh Battery
"Motorola g84 5G (Viva Magenta, 256 GB)",18999,4.2,46748,12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,5000 mAh Battery
"IQOO Z9x (Tornado Green, 128 GB)",13309,4.2,49,4 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera,6000 mAh Battery
"IQOO Z9x (Storm Grey, 128 GB)",13989,4.2,49,4 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera,6000 mAh Battery
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 128 GB)",28999,4.3,141775,8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,12MP + 12MP + 8MP (OIS) | 32MP Front Camera,4500 mAh Lithium-ion Battery
"POCO X6 Neo 5G (Astral Black, 128 GB)",14999,4.1,6454,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery
"REDMI Note 13 5G (Prism Gold, 256 GB)",19825,4.1,1196,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera,5000 mAh Battery
"REDMI Note 13 5G (Stealth Black, 256 GB)",19990,4.1,1196,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera,5000 mAh Battery
"REDMI Note 13 5G (Stealth Black, 256 GB)",17760,4.1,3511,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera,5000 mAh Battery
"REDMI 12 (Moonstone Silver, 128 GB)",11190,4.2,47263,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI Note 13 5G (Prism Gold, 128 GB)",15750,4.2,7004,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera,5000 mAh Battery
"vivo Y27 (Garden Green, 128 GB)",10830,4.2,1928,6 GB RAM | 128 GB ROM,16.87 cm (6.64 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI 12 (Moonstone Silver, 128 GB)",11190,4.2,47263,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery
"IQOO Z7 Pro 5G (Blue Lagoon, 128 GB)",23119,4.4,3874,8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Display,64MP Rear Camera,4600 mAh Battery
"REDMI Note 13 5G (Stealth Black, 128 GB)",15899,4.2,7004,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP Rear Camera,5000 mAh Battery
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)",14499,4.2,16866,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,6000 mAh Lithium ion Battery
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 128 GB)",28999,4.3,141775,8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,12MP + 12MP + 8MP (OIS) | 32MP Front Camera,4500 mAh Lithium-ion Battery
"REDMI Note 13 Pro 5G (Arctic White, 128 GB)",22298,4.3,13742,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,200MP (OIS) + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"REDMI Note 13 5G (Stealth Black, 256 GB)",17758,4.1,3511,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera,5000 mAh Battery
"realme NARZO 70X 5G (ICE BLUE, 128 GB)",12906,4.3,409,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",17869,4.4,159210,6 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera | 16MP Front Camera,5000 mAh Battery
"REDMI Note 13 5G (Arctic White, 256 GB)",17755,4.1,3511,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera,5000 mAh Battery
"REDMI Note 13 5G (Arctic White, 128 GB)",16589,4.2,7004,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera,5000 mAh Battery
"REDMI 13c 5G (Startrail Silver, 256 GB)",13929,4.2,2828,8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)",24999,4.5,7063,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
"realme 12 5G (Woodland Green, 128 GB)",17999,4.3,1526,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo Y27 (Burgundy Black, 128 GB)",10999,4.2,1928,6 GB RAM | 128 GB ROM,16.87 cm (6.64 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme 12 5G (Twilight Purple, 128 GB)",16999,4.3,5915,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme 12 5G (Woodland Green, 128 GB)",16999,4.3,5915,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI 13c 5G (Startrail Green, 256 GB)",14047,4.2,2828,8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"REDMI 13c 5G (Startrail Green, 128 GB)",10146,4.3,5782,4 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"Tecno POVA 5 Pro 5G (Dark Illusion, 256 GB)",15999,4.2,1472,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.22 cm (6.78 inch) Full HD+ Display,50MP + 0.08MP | 16MP Front Camera,5000 mAh Battery
"IQOO Z9x (Tornado Green, 128 GB)",13307,4.2,49,4 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera,6000 mAh Battery
"REDMI 13c 5G (Startrail Silver, 128 GB)",11678,4.2,5927,6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"REDMI 13c 5G (Starlight Black, 128 GB)",11587,4.2,5927,6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)",12385,4.2,22936,6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)",15999,4.3,1498,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,6000 mAh Lithium ion Battery
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)",12429,4.2,22936,6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
"REDMI Note 13 5G (Prism Gold, 256 GB)",18485,4.1,3511,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP Rear Camera,5000 mAh Battery
"REDMI 13c 5G (Startrail Green, 128 GB)",11515,4.2,5927,6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"Infinix GT 20 Pro (Mecha Blue, 256 GB)",26999,4.4,771,12 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,108MP (OIS) + 2MP + 2MP | 32MP Front Camera,5000 mAh Battery
"Infinix GT 20 Pro (Mecha Orange, 256 GB)",26999,4.4,771,12 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,108MP (OIS) + 2MP + 2MP | 32MP Front Camera,5000 mAh Battery
"Infinix GT 20 Pro (Mecha Silver, 256 GB)",26999,4.4,771,12 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,108MP (OIS) + 2MP + 2MP | 32MP Front Camera,5000 mAh Battery
"IQOO Z7 Pro 5G (Blue Lagoon, 256 GB)",23850,4.4,3874,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Display,64MP Rear Camera,4600 mAh Battery
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)",12999,4.2,6350,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,6000 mAh Lithium ion Battery
"REDMI 13c 5G (Startrail Silver, 128 GB)",10979,4.3,5782,4 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"REDMI 12 5G (Jade Black, 128 GB)",11000,4.3,8005,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI 13c 5G (Starlight Black, 128 GB)",10225,4.3,5782,4 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"REDMI 12 5G (Jade Black, 128 GB)",12089,4.2,32393,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI Note 13 Pro 5G (Midnight Black, 128 GB)",24999,4.3,13742,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,200MP (OIS) + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"POCO X6 5G (Skyline Blue, 256 GB)",18999,4.2,10380,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"realme 12 5G (Twilight Purple, 128 GB)",17999,4.3,1526,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI Note 13 Pro 5G (Midnight Black, 256 GB)",26999,4.3,13742,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,200MP (OIS) + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)",14499,4.2,16866,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,6000 mAh Lithium ion Battery
"Infinix GT 20 Pro (Mecha Orange, 256 GB)",24999,4.4,1012,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,108MP (OIS) + 2MP + 2MP | 32MP Front Camera,5000 mAh Battery
"Infinix GT 20 Pro (Mecha Silver, 256 GB)",24999,4.4,1012,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,108MP (OIS) + 2MP + 2MP | 32MP Front Camera,5000 mAh Battery
"Infinix GT 20 Pro (Mecha Blue, 256 GB)",24999,4.4,1012,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,108MP (OIS) + 2MP + 2MP | 32MP Front Camera,5000 mAh Battery
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)",16639,4.4,159210,6 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera | 16MP Front Camera,5000 mAh Battery
"POCO X6 Pro 5G (Spectre Black, 256 GB)",23999,4.2,7973,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery
"OnePlus N20 SE (CELESTIAL BLACK, 128 GB)",11529,4.1,664,4 GB RAM | 128 GB ROM,16.66 cm (6.56 inch) Display,50MP + 50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"POCO X6 Pro 5G (Spectre Black, 512 GB)",25999,4.3,6983,12 GB RAM | 512 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery
"POCO X6 Pro 5G (Racing Grey, 256 GB)",23999,4.2,7973,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery
"POCO X6 5G (Snowstorm White, 256 GB)",18999,4.2,10380,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"realme Narzo N55 (Prime Blue, 128 GB)",10667,4.3,6408,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,64MP Rear Camera,5000 mAh Battery
"REDMI 12 (Jade Black, 128 GB)",11390,4.2,47263,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery
"Motorola G32 (Satin Silver, 128 GB)",10999,4.2,120551,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery
"Motorola g84 5G (Marshmallow Blue, 256 GB)",18999,4.2,46748,12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,5000 mAh Battery
"realme 12 Pro+ 5G (Submarine Blue, 256 GB)",29999,4.4,13881,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 64MP | 32MP Front Camera,5000 mAh Battery
"realme 12 Pro+ 5G (Explorer Red, 256 GB)",29999,4.4,13881,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 64MP | 32MP Front Camera,5000 mAh Battery
"Nothing Phone (2a) 5G (Blue, 128 GB)",23999,4.4,32007,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery
"realme 12 Pro+ 5G (Navigator Beige, 256 GB)",29999,4.4,13881,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 64MP | 32MP Front Camera,5000 mAh Battery
"realme NARZO 70X 5G (ICE BLUE, 128 GB)",12209,3.8,72,4 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery
"REDMI 13c 5G (Startrail Silver, 256 GB)",13928,4.2,2828,8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"REDMI 13c 5G (Startrail Green, 256 GB)",14046,4.2,2828,8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"IQOO Z9 5G (Graphene Blue, 128 GB)",19884,4.3,859,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery
"realme 12 Pro+ 5G (Submarine Blue, 128 GB)",29999,4.4,13881,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 64MP | 32MP Front Camera,5000 mAh Battery
"REDMI Note 13 Pro 5G (Coral Purple, 256 GB)",28999,4.2,1858,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,200MP (OIS) + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"Nothing Phone (2a) 5G (Blue, 256 GB)",25999,4.4,32007,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery
"REDMI 12 5G (Pastel Blue, 128 GB)",12050,4.2,32393,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI Note 13 Pro 5G (Coral Purple, 128 GB)",24999,4.3,13742,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,200MP (OIS) + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"REDMI 13c 5G (Starlight Black, 128 GB)",11608,4.2,5927,6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"REDMI 12 5G (Pastel Blue, 256 GB)",13615,4.2,17319,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)",10840,4.2,5627,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD Display,50MP + 50MP | 13MP + 13MP Dual Front Camera,6000 mAh Battery
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)",10840,4.2,5627,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD Display,50MP + 50MP | 13MP + 13MP Dual Front Camera,6000 mAh Battery
"REDMI 12 5G (Pastel Blue, 256 GB)",13615,4.2,17319,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"Tecno Spark 10 Pro (Lunar Eclipse, 128 GB)",10149,4.2,377,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.97 cm (6.68 inch) Full HD+ Display,50MP Rear Camera | 32MP Front Camera,5000 mAh Battery
"POCO X6 5G (Mirror Black, 512 GB)",21999,4.3,2478,12 GB RAM | 512 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)",11960,4.2,22936,6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)",22999,4.5,8774,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)",10989,4.2,5627,4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
"realme NARZO 70X 5G (FOREST GREEN, 128 GB)",12275,3.8,72,4 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery
"POCO X6 5G (Snowstorm White, 512 GB)",21999,4.3,2478,12 GB RAM | 512 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"vivo Y18 (Gem Green, 128 GB)",10149,4.3,77,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.66 cm (6.56 inch) Display,50MP + 0.08MP | 8MP Front Camera,5000 mAh Battery
"realme 12+ 5G (Navigator Beige, 128 GB)",20999,4.3,9102,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery
"realme 12+ 5G (Pioneer Green, 128 GB)",20999,4.3,9102,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery
"REDMI Note 13 Pro 5G (Arctic White, 256 GB)",26999,4.3,13742,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,200MP (OIS) + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"REDMI 13c 5G (Starlight Black, 256 GB)",13675,4.2,2828,8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"realme Narzo N53 (Feather Gold, 128 GB)",10490,4.2,4751,6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"REDMI 13C (Starshine Green, 256 GB)",10679,4.1,1101,8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"POCO X6 Pro 5G (Yellow, 512 GB)",25999,4.3,6983,12 GB RAM | 512 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery
"REDMI 12 (Pastel Blue, 128 GB)",11180,4.2,47263,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery
"SAMSUNG Galaxy M14 5G (ICY Silver, 128 GB)",11055,4.2,5627,4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
"IQOO Z7 Pro 5G (Graphite Matte, 128 GB)",23747,4.4,3874,8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Display,64MP Rear Camera,4600 mAh Battery
"REDMI Note 13 Pro 5G (Coral Purple, 256 GB)",24368,4.3,13742,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,200MP (OIS) + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
"POCO X6 Pro 5G (Yellow, 256 GB)",23999,4.2,7973,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery
"vivo V30e (Silk Blue, 256 GB)",29999,4.5,1408,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 8MP | 50MP Front Camera,5500 mAh Battery
"realme narzo 70 5G (Ice Blue, 128 GB)",14894,4.2,149,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP Rear Camera,5000 mAh Battery
